id,state,county,rate
13197,Georgia,Marion County,1.5
13199,Georgia,Meriwether County,1.5
13201,Georgia,Miller County,1.5
13205,Georgia,Mitchell County,1.5
13207,Georgia,Monroe County,1.5
13209,Georgia,Montgomery County,1.5
30625,Georgia,Morgan County,2
13213,Georgia,Murray County,1.5
13215,Georgia,Muscogee County,1.5
13217,Georgia,Newton County,1.5
13219,Georgia,Oconee County,1.5
13221,Georgia,Oglethorpe County,1.5
13223,Georgia,Paulding County,1.5
31008,Georgia,Peach County,2
13227,Georgia,Pickens County,1.5
13229,Georgia,Pierce County,1.5
13231,Georgia,Pike County,1.5
13233,Georgia,Polk County,1.5
13235,Georgia,Pulaski County,1.5
13237,Georgia,Putnam County,1.5
13239,Georgia,Quitman County,1.5
13241,Georgia,Rabun County,1.5
13243,Georgia,Randolph County,1.5
30912,Georgia,Richmond County,2
30013,Georgia,Rockdale County,21
13249,Georgia,Schley County,1.5
13251,Georgia,Screven County,1.5
13253,Georgia,Seminole County,1.5
13255,Georgia,Spalding County,1.5
13257,Georgia,Stephens County,1.5
13259,Georgia,Stewart County,1.5
13261,Georgia,Sumter County,1.5
13263,Georgia,Talbot County,1.5
13265,Georgia,Taliaferro County,1.5
13267,Georgia,Tattnall County,1.5
13269,Georgia,Taylor County,1.5
13271,Georgia,Telfair County,1.5
13273,Georgia,Terrell County,1.5
13275,Georgia,Thomas County,1.5
31793,Georgia,Tift County,2
13279,Georgia,Toombs County,1.5
13281,Georgia,Towns County,1.5
13283,Georgia,Treutlen County,1.5
13285,Georgia,Troup County,1.5
13287,Georgia,Turner County,1.5
13289,Georgia,Twiggs County,1.5
13291,Georgia,Union County,1.5
13293,Georgia,Upson County,1.5
13295,Georgia,Walker County,1.5
13297,Georgia,Walton County,1.5
13299,Georgia,Ware County,1.5
13301,Georgia,Warren County,1.5
13303,Georgia,Washington County,1.5
13305,Georgia,Wayne County,1.5
13307,Georgia,Webster County,1.5
13309,Georgia,Wheeler County,1.5
13311,Georgia,White County,1.5
13313,Georgia,Whitfield County,1.5
13315,Georgia,Wilcox County,1.5
13317,Georgia,Wilkes County,1.5
13319,Georgia,Wilkinson County,1.5
13321,Georgia,Worth County,1.5
15001,Hawaii,Hawaii County,1.5
96822,Hawaii,Honolulu County,2
15007,Hawaii,Kauai County,1.5
15009,Hawaii,Maui County,1.5
83616,Idaho,Ada County,6
16003,Idaho,Adams County,1.5
83209,Idaho,Bannock County,2
16007,Idaho,Bear Lake County,1.5
16009,Idaho,Benewah County,1.5
16011,Idaho,Bingham County,1.5
16013,Idaho,Blaine County,1.5
16015,Idaho,Boise County,1.5
16017,Idaho,Bonner County,1.5
16019,Idaho,Bonneville County,1.5
16021,Idaho,Boundary County,1.5
16023,Idaho,Butte County,1.5
16025,Idaho,Camas County,1.5
16027,Idaho,Canyon County,1.5
16029,Idaho,Caribou County,1.5
16031,Idaho,Cassia County,1.5
16033,Idaho,Clark County,1.5
16035,Idaho,Clearwater County,1.5
16037,Idaho,Custer County,1.5
16039,Idaho,Elmore County,1.5
16041,Idaho,Franklin County,1.5
16043,Idaho,Fremont County,1.5
16045,Idaho,Gem County,1.5
16047,Idaho,Gooding County,1.5
16049,Idaho,Idaho County,1.5
16051,Idaho,Jefferson County,1.5
16053,Idaho,Jerome County,1.5
16055,Idaho,Kootenai County,1.5
83844,Idaho,Latah County,2
16059,Idaho,Lemhi County,1.5
16061,Idaho,Lewis County,1.5
16063,Idaho,Lincoln County,1.5
16065,Idaho,Madison County,1.5
16067,Idaho,Minidoka County,1.5
16069,Idaho,Nez Perce County,1.5
16071,Idaho,Oneida County,1.5
16073,Idaho,Owyhee County,1.5
16075,Idaho,Payette County,1.5
16077,Idaho,Power County,1.5
16079,Idaho,Shoshone County,1.5
16081,Idaho,Teton County,1.5
16083,Idaho,Twin Falls County,1.5
16085,Idaho,Valley County,1.5
16087,Idaho,Washington County,1.5
17001,Illinois,Adams County,1.5
17003,Illinois,Alexander County,1.5
17005,Illinois,Bond County,1.5
17007,Illinois,Boone County,1.5
17009,Illinois,Brown County,1.5
17011,Illinois,Bureau County,1.5
17013,Illinois,Calhoun County,1.5
17015,Illinois,Carroll County,1.5
17017,Illinois,Cass County,1.5
61801,Illinois,Champaign County,100
17021,Illinois,Christian County,1.5
17023,Illinois,Clark County,1.5
17025,Illinois,Clay County,1.5
62250,Illinois,Clinton County,2
17029,Illinois,Coles County,1.5
60131,Illinois,Cook County,126
17033,Illinois,Crawford County,1.5
17035,Illinois,Cumberland County,1.5
17037,Illinois,DeKalb County,1.5
17039,Illinois,De Witt County,1.5
